n0,Pi0,Effect,S0,Power,Power SD,FDR,FDR SD,Accuracy,Accuracy SD,TPR,TPR SD,FPR,FPR SD,F1,F1 SD
30,1.0,0.1,0.5,0.066,0.0,0.06278026905829596,0.0,0.491,0.0,0.066,0.0,0.08399999999999996,0.0,0.12331596027141312,0.0
30,1.0,0.1,1.0,0.066,0.0,0.06278026905829596,0.0,0.491,0.0,0.066,0.0,0.08399999999999996,0.0,0.12331596027141312,0.0
30,1.0,0.3,0.5,0.20621052631578948,0.0,0.058173076923076925,0.0,0.48210526315789476,0.0,0.20621052631578948,0.0,0.242,0.0,0.3383419689119171,0.0
30,1.0,0.3,1.0,0.20621052631578948,0.0,0.058173076923076925,0.0,0.48210526315789476,0.0,0.20621052631578948,0.0,0.242,0.0,0.3383419689119171,0.0
30,1.0,0.5,0.5,0.47978947368421054,0.0,0.049426485922836286,0.0,0.5028947368421053,0.0,0.47978947368421054,0.0,0.474,0.0,0.6377054914305702,0.0
30,1.0,0.5,1.0,0.47978947368421054,0.0,0.049426485922836286,0.0,0.5028947368421053,0.0,0.47978947368421054,0.0,0.474,0.0,0.6377054914305702,0.0
30,0.9,0.1,0.5,0.06536842105263158,0.0,0.0296875,0.0,0.5136842105263157,0.0,0.06536842105263158,0.0,0.038000000000000034,0.0,0.1224852071005917,0.0
30,0.9,0.1,1.0,0.06536842105263158,0.0,0.0296875,0.0,0.5136842105263157,0.0,0.06536842105263158,0.0,0.038000000000000034,0.0,0.1224852071005917,0.0
30,0.9,0.3,0.5,0.1976842105263158,0.0,0.010015814443858724,0.0,0.5798421052631579,0.0,0.1976842105263158,0.0,0.038000000000000034,0.0,0.3295604106343775,0.0
30,0.9,0.3,1.0,0.1976842105263158,0.0,0.010015814443858724,0.0,0.5798421052631579,0.0,0.1976842105263158,0.0,0.038000000000000034,0.0,0.3295604106343775,0.0
30,0.9,0.5,0.5,0.4571578947368421,0.0,0.004355800091701055,0.0,0.7095789473684211,0.0,0.4571578947368421,0.0,0.038000000000000034,0.0,0.626605107488097,0.0
30,0.9,0.5,1.0,0.4571578947368421,0.0,0.004355800091701055,0.0,0.7095789473684211,0.0,0.4571578947368421,0.0,0.038000000000000034,0.0,0.626605107488097,0.0
30,0.75,0.1,0.5,0.06168421052631579,0.0,0.04091653027823241,0.0,0.5058421052631579,0.0,0.06168421052631579,0.0,0.050000000000000044,0.0,0.11591336168529326,0.0
30,0.75,0.1,1.0,0.06168421052631579,0.0,0.04091653027823241,0.0,0.5058421052631579,0.0,0.06168421052631579,0.0,0.050000000000000044,0.0,0.11591336168529326,0.0
30,0.75,0.3,0.5,0.17410526315789474,0.0,0.014889815366289458,0.0,0.5620526315789474,0.0,0.17410526315789474,0.0,0.050000000000000044,0.0,0.295911977815547,0.0
30,0.75,0.3,1.0,0.17410526315789474,0.0,0.014889815366289458,0.0,0.5620526315789474,0.0,0.17410526315789474,0.0,0.050000000000000044,0.0,0.295911977815547,0.0
30,0.75,0.5,0.5,0.38863157894736844,0.0,0.006725854183481302,0.0,0.6693157894736842,0.0,0.38863157894736844,0.0,0.050000000000000044,0.0,0.5586744344404933,0.0
30,0.75,0.5,1.0,0.38863157894736844,0.0,0.006725854183481302,0.0,0.6693157894736842,0.0,0.38863157894736844,0.0,0.050000000000000044,0.0,0.5586744344404933,0.0
30,0.5,0.1,0.5,0.05526315789473684,0.0,0.05575539568345324,0.0,0.49663157894736837,0.0,0.05526315789473684,0.0,0.062000000000000055,0.0,0.10441527446300716,0.0
30,0.5,0.1,1.0,0.05526315789473684,0.0,0.05575539568345324,0.0,0.49663157894736837,0.0,0.05526315789473684,0.0,0.062000000000000055,0.0,0.10441527446300716,0.0
30,0.5,0.3,0.5,0.1328421052631579,0.0,0.02397525135344161,0.0,0.5354210526315789,0.0,0.1328421052631579,0.0,0.062000000000000055,0.0,0.23385527656814598,0.0
30,0.5,0.3,1.0,0.1328421052631579,0.0,0.02397525135344161,0.0,0.5354210526315789,0.0,0.1328421052631579,0.0,0.062000000000000055,0.0,0.23385527656814598,0.0
30,0.5,0.5,0.5,0.27621052631578946,0.0,0.011676082862523541,0.0,0.6071052631578947,0.0,0.27621052631578946,0.0,0.062000000000000055,0.0,0.4317564788153024,0.0
30,0.5,0.5,1.0,0.27621052631578946,0.0,0.011676082862523541,0.0,0.6071052631578947,0.0,0.27621052631578946,0.0,0.062000000000000055,0.0,0.4317564788153024,0.0
