n0,n1,1-Pi0,Effect,S0,S1,Power,Power SD,FDR,FDR SD,Accuracy,Accuracy SD,TPR,TPR SD,FPR,FPR SD,F1,F1 SD
15,5,0.25,0.5,1.0,0.5,0.0008160000000000001,0.0011227395067423256,0.010303030303030303,0.049463605824825944,0.500404,0.0005540012033681324,0.0008160000000000001,0.0011227395067423256,7.999999999999119e-06,3.166491223209763e-05,0.0016280196000052088,0.002237130350799851
15,5,0.25,0.5,1.0,1.0,0.000904,0.0008793088194712935,0.207031746031746,0.2712824729799781,0.5004026666666667,0.00040747678870499887,0.000904,0.0008793088194712935,9.86666666666558e-05,0.00011565465835839494,0.0018039281674945503,0.0017527967992280323
15,5,0.25,1.0,0.5,0.5,0.5905600000000001,0.014217510330574761,0.053219562863033386,0.0057808233640936155,0.7897439999999999,0.007016543751892529,0.5905600000000001,0.014217510330574761,0.011072,0.0012858090406000682,0.7272950472183126,0.011012639434871989
15,5,0.25,1.0,0.5,1.0,0.035384,0.005989970283732633,0.18339584625225835,0.04802574588709499,0.5163586666666667,0.0029078557200949494,0.035384,0.005989970283732633,0.0026666666666666705,0.0008549983755670006,0.06775503563496785,0.011041423413994481
15,5,0.25,1.0,1.0,0.5,0.37294400000000005,0.016474321351727963,0.0359785662123842,0.0051225135856667325,0.6841493333333333,0.008108843567365197,0.37294400000000005,0.016474321351727963,0.00464533333333333,0.0007290102879932502,0.5376047815939576,0.01718333518505516
15,5,0.25,1.0,1.0,1.0,0.033248,0.006859336411053185,0.0980963550284284,0.033223385553602075,0.5160213333333333,0.0033550079317674077,0.033248,0.006859336411053185,0.0012053333333333382,0.0004931242800304554,0.06404146722063278,0.01275631224083558
15,5,0.25,1.5,0.5,0.5,0.9450160000000001,0.0050439413160741665,0.04872616517215483,0.004499595315045265,0.9644373333333334,0.002713297624662658,0.9450160000000001,0.0050439413160741665,0.01614133333333333,0.001556385556345215,0.9481243693629451,0.0036350472240360685
15,5,0.25,1.5,0.5,1.0,0.18453599999999998,0.01458999328306905,0.09424658018566441,0.013369927995634226,0.5890653333333333,0.007124286974068973,0.18453599999999998,0.01458999328306905,0.00640533333333333,0.0010752851818109526,0.3063368458415643,0.020412532034884273
15,5,0.25,1.5,1.0,0.5,0.895464,0.006242876260186486,0.03595629772613474,0.003654133994618958,0.9421626666666667,0.0030386008476124536,0.895464,0.006242876260186486,0.011138666666666663,0.0011914390924890421,0.9284725251268533,0.0034972547936946465
15,5,0.25,1.5,1.0,1.0,0.246056,0.013096811214948467,0.06450305589372943,0.01023015970392035,0.6202,0.006503660507744857,0.246056,0.013096811214948467,0.005655999999999997,0.0009477327330705263,0.38945506808210373,0.016612822080944292
