ID_REF	VALUE	5522887032_E.Avg_NBEADS	5522887032_E.BEAD_STDERR	5522887032_E.Detection Pval
ILMN_1666939	102.0568	17	4.049055	0.4272727
ILMN_1660359	112.7605	21	5.05169	0.1402597
ILMN_1709571	125.0132	43	5.099834	0.02857143
ILMN_1705662	112.3228	18	8.839943	0.151948
ILMN_1725294	115.88	18	5.862946	0.09220779
ILMN_1684413	116.5427	21	5.536143	0.08571429
ILMN_1754415	99.50773	16	3.479076	0.5311688
ILMN_1663387	103.0772	21	7.077993	0.3857143
ILMN_1686735	115.6719	13	5.299678	0.09350649
ILMN_1704332	100.3092	20	3.4996	0.4948052
ILMN_1679617	127.3182	13	11.6795	0.02337662
ILMN_1753569	87.99586	23	3.314548	0.851948
ILMN_1652459	172.3714	26	10.50687	0
ILMN_1737141	108.7893	25	6.698193	0.2246753
ILMN_1678700	113.8158	24	6.739176	0.1246753
ILMN_1663495	111.8002	17	5.637599	0.1623377
ILMN_1658109	116.0432	27	6.521733	0.09090909
ILMN_1745957	95.84367	17	2.973583	0.6506494
ILMN_1696946	184.7845	13	12.63698	0
ILMN_1657022	112.7465	14	5.930726	0.1402597
ILMN_1799699	99.15878	33	3.414643	0.5389611
ILMN_1761474	204.1995	11	11.26538	0
ILMN_1725981	136.6377	21	6.097685	0.005194805
ILMN_1762308	336.3085	32	14.9673	0
ILMN_1769309	128.3587	23	7.606446	0.02207792
ILMN_1755808	10164.65	28	522.0294	0
ILMN_1680412	101.8966	17	4.359768	0.4337662
ILMN_1671451	102.3889	21	6.179215	0.4155844
ILMN_1790384	127.9368	25	6.761233	0.02337662
ILMN_1747709	118.4847	21	7.502841	0.06493507
ILMN_1786110	97.45312	22	4.094647	0.5961039
ILMN_1714851	105.2317	18	6.661376	0.312987
ILMN_1704216	110.6161	19	5.570755	0.1844156
ILMN_1725018	94.34582	22	4.0768	0.6909091
ILMN_1665743	99.89729	22	3.205405	0.512987
ILMN_1794896	102.5095	20	4.744596	0.4103896
ILMN_1758694	118.3033	18	8.768221	0.07142857
ILMN_1697802	238.4751	26	12.44315	0
ILMN_1804299	100.5053	20	4.449733	0.4831169
ILMN_1677965	105.0342	26	4.423786	0.3233766
ILMN_1684977	90.18134	14	4.253347	0.7987013
ILMN_1792635	106.2024	10	4.794347	0.2896104
ILMN_1734939	109.2488	28	5.124933	0.2142857
ILMN_1705342	114.8039	20	6.098439	0.1077922
ILMN_1701307	103.014	18	6.897387	0.3896104
ILMN_1793916	120.2495	20	7.391234	0.05194805
ILMN_1763310	115.7327	23	4.713454	0.09350649
ILMN_2059238	106.5838	25	6.15788	0.2792208
ILMN_1761896	107.2147	21	5.116544	0.2688312
ILMN_1722730	107.3702	19	5.308437	0.2675325
ILMN_1717060	85.26487	28	2.544808	0.9090909
ILMN_1766184	195.1327	33	11.15831	0
ILMN_3281651	155.6733	25	10.65493	0.001298701
ILMN_3198499	895.1054	16	53.3905	0
ILMN_3246060	88.55577	34	2.405572	0.8324676
ILMN_3231026	104.8501	29	3.834997	0.325974
ILMN_3281342	102.4458	22	4.742857	0.4116883
ILMN_3237319	272.0532	27	11.45286	0
ILMN_3293173	124.0159	11	5.532785	0.02987013
ILMN_3205404	112.977	20	3.960838	0.1376623
ILMN_2056002	465.4799	28	34.29071	0
ILMN_3237569	86.77463	21	5.241781	0.874026
ILMN_3275685	100.4143	35	3.965405	0.4857143
ILMN_3239725	86.49698	20	4.460239	0.8883117
ILMN_1800786	116.3158	22	6.85708	0.08701298
ILMN_1694752	144.2159	20	8.53074	0.002597403
ILMN_1799628	132.045	18	11.50184	0.01168831
ILMN_1806474	109.5614	32	4.785347	0.2077922
ILMN_1722995	93.96114	11	4.937105	0.6961039
ILMN_1726936	114.7888	24	5.493895	0.1077922
ILMN_1675329	118.374	20	9.297489	0.06883117
ILMN_1679582	121.2152	26	5.47597	0.04155844
ILMN_1785717	90.13176	13	5.491412	0.8012987
ILMN_1653799	106.0491	23	7.200499	0.2922078
ILMN_1714050	121.2193	15	6.724262	0.04155844
ILMN_3203683	93.9308	20	5.272574	0.6974026
ILMN_3237353	110.9316	13	6.216875	0.1753247
ILMN_1674316	116.6489	19	3.462268	0.08441558
ILMN_1746456	82.83067	12	2.506826	0.938961
ILMN_3281387	114.4046	20	6.956641	0.112987
ILMN_3248060	114.2137	24	6.542458	0.1168831
ILMN_3240636	99.29306	22	3.555028	0.5389611
ILMN_3282066	109.3778	31	4.049932	0.2103896
ILMN_3248379	140.333	32	6.540771	0.003896104
ILMN_1805187	112.5848	18	4.233991	0.1441558
ILMN_1716445	177.178	18	10.05034	0
ILMN_1732006	169.3003	17	12.71706	0
ILMN_1721719	103.8288	22	3.602126	0.3558442
ILMN_1668027	138.0835	13	9.323781	0.003896104
ILMN_3235662	107.7736	19	5.451893	0.2545455
ILMN_3237409	86.36815	21	4.170024	0.8922078
ILMN_3293694	160.6368	26	6.827835	0
ILMN_1677714	100.9726	20	3.403027	0.4636364
ILMN_1655093	123.1937	16	8.13755	0.03376623
ILMN_1731931	102.8092	17	3.928985	0.3948052
ILMN_1796836	97.674	20	4.486727	0.5935065
ILMN_1762243	93.95945	17	5.566923	0.6961039
ILMN_3248389	97.34457	31	4.280592	0.5974026
ILMN_1680056	103.5245	21	4.570883	0.3701299
ILMN_3249248	91.08022	19	5.139921	0.7805195
ILMN_3288981	95.67484	36	3.834223	0.6558442
ILMN_1845162	110.1825	22	7.015487	0.1935065
ILMN_3295838	92.25621	29	2.699224	0.7506493
ILMN_3241644	131.6335	20	8.05049	0.01298701
ILMN_3212373	422.5078	17	28.14408	0
ILMN_3247710	96.09283	19	4.691974	0.638961
ILMN_1783165	98.17889	20	4.339096	0.5727273
ILMN_3206390	18974.16	28	960.1168	0
ILMN_1775856	88.82056	25	2.820207	0.8272727
ILMN_1675346	102.7892	18	6.500954	0.3961039
ILMN_1794799	106.3378	18	4.842658	0.2857143
ILMN_1691328	111.9595	17	5.391524	0.1623377
ILMN_3239188	188.9399	22	14.20314	0
ILMN_1776327	135.5536	23	7.126343	0.006493506
ILMN_3293114	132.2371	20	7.834842	0.01168831
ILMN_3211887	2553.676	22	253.8933	0
ILMN_1681325	130.0069	20	11.32496	0.01818182
ILMN_3274666	1080.338	30	55.05827	0
ILMN_3285276	127.192	18	4.744794	0.02337662
ILMN_3220082	105.9064	14	6.318896	0.2961039
ILMN_3296610	97.60881	24	3.963256	0.5948052
ILMN_3282835	103.2716	25	4.517161	0.3792208
ILMN_1709339	91.49674	18	4.584703	0.7727273
ILMN_1744539	94.0018	24	3.558819	0.6961039
ILMN_3205837	103.1478	28	4.694015	0.3844156
ILMN_3290155	126.5344	19	9.30225	0.02467532
ILMN_3249044	105.8555	15	4.602249	0.2974026
ILMN_3240207	96.3308	22	5.370612	0.6311688
ILMN_1688444	110.3101	26	4.989911	0.1909091
ILMN_3208006	94.30268	28	3.021774	0.6909091
ILMN_3284517	94.05116	17	5.671347	0.6922078
ILMN_3281134	81.72546	22	2.389601	0.9558442
ILMN_3204630	101.3971	30	3.690746	0.4493507
ILMN_3199806	94.18735	29	3.334363	0.6909091
ILMN_3205929	96.46907	23	2.570672	0.6233766
ILMN_3292747	117.484	17	4.573711	0.07662338
ILMN_3278851	97.21178	20	5.485444	0.6012987
ILMN_1768558	237.8546	29	17.91401	0
ILMN_1799837	181.1023	25	15.90749	0
ILMN_1722178	114.7938	19	7.121482	0.1077922
ILMN_1806103	98.13336	16	3.867247	0.574026
ILMN_1797281	127.1023	19	13.2019	0.02337662
ILMN_1681811	104.7787	22	4.329529	0.3272727
ILMN_1798875	88.85326	16	4.952759	0.8272727
ILMN_3283846	86.46673	28	3.132033	0.8896104
ILMN_3237011	115.6215	31	4.519365	0.0948052
ILMN_3244204	114.4099	30	7.724334	0.112987
ILMN_3214077	91.00416	26	2.645406	0.7805195
ILMN_3199737	3877.883	21	283.68	0
ILMN_3276209	5148.847	25	402.8434	0
ILMN_1670304	123.876	28	5.802473	0.02987013
ILMN_3236164	118.4678	21	9.19117	0.06493507
ILMN_3285429	111.085	13	3.593593	0.1714286
ILMN_3203622	100.7964	23	3.685873	0.4688312
ILMN_3238244	116.3331	30	5.85919	0.08701298
ILMN_3275907	96.28489	23	3.340832	0.6324675
ILMN_3236249	114.8662	23	5.160178	0.1064935
ILMN_3294066	97.22443	26	4.026663	0.6012987
ILMN_3288682	95.75255	20	3.925546	0.6545454
ILMN_3242498	92.13433	29	3.154122	0.7558442
ILMN_3236381	90.04995	21	3.228325	0.8012987
ILMN_3202574	126.5686	22	8.182743	0.02337662
ILMN_3294149	113.5279	30	5.51698	0.1272727
ILMN_3233993	107.9024	20	4.642845	0.2506494
ILMN_3217149	101.0211	29	3.404807	0.4597403
ILMN_3294861	95.41035	25	3.478348	0.6636364
ILMN_3207406	114.2974	20	7.035162	0.1142857
ILMN_3243578	124.7025	29	6.349946	0.02857143
ILMN_3296663	129.2901	19	8.199534	0.02077922
ILMN_3201153	96.96446	28	4.670959	0.6090909
ILMN_3200362	1095.368	23	62.39787	0
ILMN_1776709	115.7627	19	6.241547	0.09350649
ILMN_3203774	103.4498	22	5.438689	0.3753247
ILMN_3282829	133.2097	18	11.38911	0.009090909
ILMN_3243813	129.7217	23	6.221913	0.01948052
ILMN_3200080	90.54842	26	3.254557	0.7883117
ILMN_3218421	97.14043	21	3.125512	0.6038961
ILMN_3283991	102.5532	40	3.487805	0.4103896
ILMN_1664522	108.2165	18	5.921446	0.2402597
ILMN_3235234	95.07164	27	4.396576	0.6766234
ILMN_1753330	93.71626	16	3.732455	0.7012987
ILMN_3289195	108.6088	29	3.733675	0.2285714
ILMN_1857947	132.1414	20	9.855086	0.01168831
ILMN_1691616	183.8165	14	12.49193	0
ILMN_1775307	137.7953	32	5.440257	0.003896104
ILMN_1670937	119.511	27	6.638096	0.05844156
ILMN_3274465	104.3908	12	7.140944	0.3402597
ILMN_3283936	98.41841	23	4.695289	0.5662338
ILMN_3201563	127.3257	31	7.186455	0.02337662
ILMN_1745473	114.0275	20	5.908569	0.1194805
ILMN_1881598	106.8632	28	4.057741	0.2766234
ILMN_3202552	107.0739	27	4.655368	0.2688312
ILMN_3277199	116.3006	30	6.832888	0.08701298
ILMN_3280312	102.6554	33	4.02631	0.4064935
ILMN_1787823	126.0496	20	7.051613	0.02727273
ILMN_3235613	88.40086	18	3.638455	0.8415585
ILMN_3243866	95.50729	27	3.459115	0.6597403
ILMN_1653745	101.8844	22	6.191629	0.4337662
ILMN_3282038	98.42454	24	4.298213	0.5649351
ILMN_3212471	96.18008	18	3.360984	0.6363636
ILMN_3212424	85.13683	24	3.80374	0.9116883
ILMN_3275275	171.0286	22	7.700266	0
ILMN_3275422	153.4814	15	13.72803	0.001298701
ILMN_3214332	129.7076	20	9.713985	0.01948052
ILMN_3239603	116.4046	16	7.137621	0.08701298
ILMN_3202437	98.53056	27	4.121054	0.5597402
ILMN_3296267	105.5655	35	4.278267	0.3025974
ILMN_3219739	201.1618	22	18.51703	0
ILMN_3201877	108.7446	33	4.357684	0.225974
ILMN_3277387	92.78957	22	4.720187	0.7246753
ILMN_3230382	112.1302	20	7.007242	0.1571429
ILMN_3237419	108.0568	22	3.934847	0.2454545
ILMN_3244864	100.545	17	5.556326	0.4831169
ILMN_3213581	115.5789	29	5.916734	0.0948052
ILMN_3292056	1972.021	32	134.4476	0
ILMN_1655605	123.4934	19	8.784792	0.03246753
ILMN_1896830	93.75213	18	3.501032	0.7
ILMN_3251599	84.19449	18	3.152048	0.925974
ILMN_1688137	107.8374	26	6.185094	0.2519481
ILMN_3274532	91.0674	23	4.07693	0.7805195
ILMN_3296519	196.5248	20	16.51355	0
ILMN_1785389	90.51929	16	5.408803	0.7896104
ILMN_3250642	118.5382	18	9.434985	0.06493507
ILMN_3249866	101.8791	26	4.570418	0.4337662
ILMN_1855478	104.0995	25	3.845516	0.3467532
ILMN_1651711	109.9998	25	5.55315	0.1961039
ILMN_1724854	107.4311	23	6.815353	0.2649351
ILMN_1692072	329.6055	26	17.08505	0
ILMN_1659209	108.2341	32	4.306835	0.238961
ILMN_1655045	103.5397	23	4.643707	0.3701299
ILMN_1812721	104.7775	31	2.829808	0.3272727
ILMN_1711699	119.7431	19	7.871426	0.05584415
ILMN_3275354	103.5436	20	5.853113	0.3701299
ILMN_3243738	112.67	14	7.533699	0.1428571
ILMN_3235036	136.8355	20	9.259423	0.005194805
ILMN_3231881	2101.739	32	112.5498	0
ILMN_3206101	105.1555	18	4.345177	0.3155844
ILMN_3217953	109.3578	30	4.669265	0.212987
ILMN_3287068	2239.66	28	123.5565	0
ILMN_1690611	108.5326	22	4.229999	0.2298701
ILMN_3249456	111.5255	11	5.691875	0.1662338
ILMN_1814589	114.5778	19	4.01837	0.1090909
ILMN_1711145	122.1506	13	10.00556	0.03896104
ILMN_3276150	112.309	24	5.512654	0.151948
ILMN_3243809	108.1727	18	5.278029	0.2415584
ILMN_3209883	97.43313	23	3.661239	0.5961039
ILMN_3286389	173.2589	23	15.53384	0
ILMN_3279449	88.07701	22	4.671393	0.8506494
ILMN_3210217	105.5596	30	3.430739	0.3025974
ILMN_3232753	115.1185	28	6.310634	0.1
ILMN_1668053	105.5178	23	5.204068	0.3025974
ILMN_3212591	104.05	26	4.035771	0.3506494
ILMN_3289090	277.6474	27	21.19511	0
ILMN_3209631	150.7714	21	8.379294	0.002597403
ILMN_3276019	1777.365	31	97.71101	0
ILMN_3204917	101.2008	15	4.648396	0.4558442
ILMN_3291387	81.33067	23	2.693485	0.9623377
ILMN_1701266	101.5771	24	4.30158	0.4428571
ILMN_1668743	1208.569	15	51.59725	0
ILMN_1751061	124.1572	21	6.29283	0.02987013
ILMN_3219008	92.3149	25	3.231667	0.7493507
ILMN_1741092	107.5284	28	4.814374	0.2597403
ILMN_1864813	117.7288	26	4.608995	0.07662338
ILMN_3235982	108.3302	18	5.516478	0.2350649
ILMN_3282972	101.2932	30	3.870193	0.4532467
ILMN_1821031	119.1445	23	8.196603	0.05974026
ILMN_3231554	120.9519	17	10.17367	0.04545455
ILMN_3219040	104.445	14	8.48141	0.3376623
ILMN_1710558	106.5907	13	6.045058	0.2792208
