ID_REF	VALUE	5455178010_I.Avg_NBEADS	5455178010_I.BEAD_STDERR	5455178010_I.Detection Pval
ILMN_3235340	136.1446	26	9.175522	0.01168831
ILMN_1761000	113.8667	19	6.835152	0.1623377
ILMN_3237774	141.1801	19	13.38985	0.005194805
ILMN_2333219	106.4395	20	7.176522	0.3363636
ILMN_1780485	84.02362	14	3.709627	0.9207792
ILMN_1735471	96.13937	20	5.926819	0.638961
ILMN_1699636	441.0709	26	14.79673	0
ILMN_2371379	981.471	26	43.9188	0
ILMN_1749014	441.3836	24	24.15556	0
ILMN_1727091	96.10288	25	6.415399	0.638961
ILMN_1771348	304.9973	25	15.69172	0
ILMN_2134039	563.5258	26	20.13455	0
ILMN_1750800	500.214	30	13.58579	0
ILMN_1654861	288.3583	19	20.19449	0
ILMN_2121389	130.2885	19	11.28547	0.01948052
ILMN_1715543	99.62025	24	4.024284	0.5428572
ILMN_1739594	88.14245	14	6.533206	0.861039
ILMN_2353978	115.2232	23	5.46105	0.1337662
ILMN_1785474	99.67522	27	6.666957	0.5415584
ILMN_2188959	76.51612	21	2.344407	0.9909091
ILMN_1716237	138.111	28	7.055442	0.007792208
ILMN_1764321	110.732	11	7.328494	0.2311688
ILMN_2156699	102.7437	22	5.847095	0.4493507
ILMN_1784756	94.53109	27	5.503714	0.6792208
ILMN_1728883	110.368	22	7.25965	0.2402597
ILMN_1740265	1234.544	21	58.0818	0
ILMN_1788078	105.9291	13	5.4368	0.3493507
ILMN_2252621	85.91116	15	3.313404	0.8896104
ILMN_2332250	238.074	25	11.58701	0
ILMN_1719178	89.95796	22	4.405705	0.8038961
ILMN_1679600	130.409	23	8.321959	0.01948052
ILMN_2367070	273.2303	20	24.7541	0
ILMN_1658995	164.7282	27	7.660602	0
ILMN_1750158	186.0801	15	10.83436	0
ILMN_1668839	93.34952	27	5.64516	0.7155844
ILMN_1765767	83.04749	24	3.780952	0.9363636
ILMN_1685703	93.36796	27	4.589167	0.7142857
ILMN_1743396	295.966	24	23.66188	0
ILMN_1743680	89.04148	15	6.311383	0.8285714
ILMN_1669633	441.2306	17	28.30474	0
ILMN_2344956	1710.829	25	68.86073	0
ILMN_2104830	158.2745	20	9.965649	0
ILMN_2078599	564.657	21	33.74109	0
ILMN_2234343	139.2372	22	7.806209	0.007792208
ILMN_1706598	93.89666	21	3.821082	0.6961039
ILMN_2306955	97.70441	18	3.641507	0.5948052
ILMN_1758323	109.4076	19	7.906664	0.2597403
ILMN_1728331	122.4705	12	13.58335	0.05714286
ILMN_2351906	99.08279	20	4.327871	0.5623376
ILMN_1705637	85.50428	21	4.249098	0.9
ILMN_1784203	95.80194	14	8.147354	0.648052
ILMN_1666690	182.2941	28	9.811897	0
ILMN_1654468	91.7039	21	4.612669	0.7571428
ILMN_2320277	92.38678	23	4.355788	0.7376623
ILMN_2227011	134.0901	25	5.93036	0.01428571
ILMN_1730002	93.00677	13	5.378474	0.7246753
ILMN_3236756	121.3185	22	7.190371	0.06233766
ILMN_1716832	120.329	21	6.971472	0.07012987
ILMN_1684585	293.9996	28	15.40902	0
ILMN_2360705	560.2244	30	22.95583	0
ILMN_1654414	128.6305	23	9.189462	0.02077922
ILMN_1666096	160.4779	23	5.637026	0
ILMN_2391458	102.6687	29	5.284461	0.451948
ILMN_2285506	101.5506	21	6.45507	0.4831169
ILMN_1691714	84.9129	30	4.286192	0.9103896
ILMN_1683598	777.088	22	48.4163	0
ILMN_2370882	117.9383	19	7.618011	0.1
ILMN_2273911	97.19835	24	5.421505	0.6051948
ILMN_1807914	94.10815	18	5.49009	0.6922078
ILMN_1678517	79.36874	19	4.495521	0.9766234
ILMN_1705247	294.5678	24	10.93125	0
ILMN_1737418	120.588	27	6.180796	0.07012987
ILMN_2278242	91.98537	19	3.762333	0.7428572
ILMN_1730025	77.93376	25	3.529644	0.9857143
