n0,Pi0,Effect,Power,Power SD,FDR,FDR SD,Accuracy,Accuracy SD,F1,F1 SD
5,0.675,0.05,0.048842105263157895,0.0020000000000000018,0.05205694217985701,0.000884234290731218,0.49892105263157893,0.0005000000000000004,0.0928901272265702,0.0036133692769263065
5,0.675,0.1,0.0501578947368421,0.0024736842105263154,0.05077393099662263,0.00045946558781759586,0.499578947368421,0.000263157894736854,0.09526979370793576,0.0044609333290643455
5,0.675,0.3,0.06305263157894737,0.005473684210526315,0.04092726624614479,0.0011042573965872639,0.5060263157894737,0.0012368421052632028,0.11827585354437414,0.009647117569793646
5,0.675,0.5,0.09084210526315789,0.003999999999999997,0.028681689411478008,0.00041313817472888974,0.519921052631579,0.0005000000000000004,0.16611984176483163,0.006684147494853854
5,0.5,0.05,0.04789473684210526,0.0002105263157894735,0.05010896094839609,0.0021922942817294254,0.4999473684210526,0.0011052631578947203,0.09119146290175059,0.0003917034309147485
5,0.5,0.1,0.04894736842105263,0.00031578947368421026,0.04908893972406814,0.0022457625346587635,0.5004736842105263,0.0011578947368421078,0.09310229612178145,0.0005820197625144088
5,0.5,0.3,0.05884210526315789,0.0024210526315789453,0.04128990439150867,0.0032733754658888364,0.505421052631579,0.002210526315789496,0.110870272239881,0.004320227512716719
5,0.5,0.5,0.07873684210526316,0.0020000000000000018,0.031135211362186485,0.002021287311553573,0.5153684210526316,0.0020000000000000018,0.14563259392196234,0.003444179644607165
5,0.3,0.05,0.052052631578947364,0.001210526315789471,0.06262178855708872,0.003142234653742998,0.4930263157894737,0.0016052631578947207,0.09862647724809247,0.002190418547882822
5,0.3,0.1,0.05242105263157895,0.0007368421052631573,0.06217611066773078,0.00258579409417398,0.4932105263157895,0.0013684210526315743,0.09929139490617882,0.001336282686727433
5,0.3,0.3,0.05826315789473684,0.00047368421052631365,0.056254942550123276,0.00117748988230916,0.4961315789473685,0.0007631578947368267,0.10975020290462945,0.0008324368099959858
